,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.224,0.23,0.234,0.232,
Normalized EBITDA,2734594000.0,4267346000.0,2934776000.0,660420000.0,
Net Income From Continuing Operation Net Minority Interest,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Reconciled Depreciation,558275000.0,497140000.0,547352000.0,116566000.0,
Reconciled Cost Of Revenue,11084996000.0,14982039000.0,14042900000.0,6336290000.0,
EBITDA,2734594000.0,4267346000.0,2934776000.0,660420000.0,
EBIT,2176319000.0,3770206000.0,2387424000.0,543854000.0,
Net Interest Income,-192115000.0,-198373000.0,-135877000.0,-135688000.0,
Interest Expense,192115000.0,198373000.0,135877000.0,135688000.0,
Normalized Income,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Net Income From Continuing And Discontinued Operation,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Total Expenses,14921011000.0,18956212000.0,17506432000.0,8015020000.0,
Total Operating Income As Reported,2176319000.0,3770206000.0,2387424000.0,543854000.0,
Diluted Average Shares,128998000.0,163481000.0,203470000.0,117917000.0,
Basic Average Shares,127777000.0,161960000.0,201839000.0,116611000.0,
Diluted EPS,11.94,16.82,8.48,2.66,
Basic EPS,12.06,16.98,8.55,2.69,
Diluted NI Availto Com Stockholders,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Net Income Common Stockholders,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Net Income,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Net Income Including Noncontrolling Interests,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Net Income Continuous Operations,1540555000.0,2749369000.0,1725416000.0,313537000.0,
Tax Provision,443649000.0,822464000.0,526131000.0,94629000.0,
Pretax Income,1984204000.0,3571833000.0,2251547000.0,408166000.0,
Net Non Operating Interest Income Expense,-192115000.0,-198373000.0,-135877000.0,-135688000.0,
Total Other Finance Cost,,,,,109551000.0
Interest Expense Non Operating,192115000.0,198373000.0,135877000.0,135688000.0,
Operating Income,2176319000.0,3770206000.0,2387424000.0,543854000.0,
Operating Expense,3836015000.0,3974173000.0,3463532000.0,1678730000.0,
Selling General And Administration,3836015000.0,3974173000.0,3463532000.0,1678730000.0,
Gross Profit,6012334000.0,7744379000.0,5850956000.0,2222584000.0,
Cost Of Revenue,11084996000.0,14982039000.0,14042900000.0,6336290000.0,
Total Revenue,17097330000.0,22726418000.0,19893856000.0,8558874000.0,
Operating Revenue,17097330000.0,22726418000.0,19893856000.0,8558874000.0,
